"match_id","inning","batting_team","bowling_team","over","ball","batsman","non_striker","bowler","is_super_over","wide_runs","bye_runs","legbye_runs","noball_runs","penalty_runs","batsman_runs","extra_runs","total_runs","player_dismissed","dismissal_kind","fielder"
1,1,"Kolkata Knight Riders","Royal Challengers Bangalore",4,1,"BB McCullum","SC Ganguly","AA Noffke",0,5,0,0,0,0,0,5,5,"","",""
3,2,"Delhi Daredevils","Rajasthan Royals",13,6,"S Dhawan","G Gambhir","D Salunkhe",0,5,0,0,0,0,0,5,5,"","",""
5,2,"Kolkata Knight Riders","Deccan Chargers",7,4,"SC Ganguly","DJ Hussey","SB Bangar",0,5,0,0,0,0,0,5,5,"","",""
5,2,"Kolkata Knight Riders","Deccan Chargers",12,5,"SC Ganguly","DJ Hussey","A Symonds",0,5,0,0,0,0,0,5,5,"","",""
8,1,"Chennai Super Kings","Mumbai Indians",12,5,"SK Raina","ML Hayden","VS Yeligati",0,5,0,0,0,0,0,5,5,"","",""
12,2,"Chennai Super Kings","Kolkata Knight Riders",3,6,"PA Patel","ML Hayden","AB Dinda",0,5,0,0,0,0,0,5,5,"","",""
12,2,"Chennai Super Kings","Kolkata Knight Riders",16,2,"ML Hayden","MS Dhoni","I Sharma",0,5,0,0,0,0,0,5,5,"","",""
16,2,"Mumbai Indians","Kolkata Knight Riders",9,5,"RV Uthappa","DJ Bravo","Mohammad Hafeez",0,5,0,0,0,0,0,5,5,"","",""
21,1,"Deccan Chargers","Royal Challengers Bangalore",1,3,"HH Gibbs","AC Gilchrist","A Kumble",0,5,0,0,0,0,0,5,5,"","",""
22,2,"Kolkata Knight Riders","Kings XI Punjab",1,3,"SC Ganguly","Mohammad Hafeez","S Sreesanth",0,5,0,0,0,0,0,5,5,"","",""
24,2,"Rajasthan Royals","Chennai Super Kings",7,7,"GC Smith","SA Asnodkar","JA Morkel",0,5,0,0,0,0,0,5,5,"","",""
24,2,"Rajasthan Royals","Chennai Super Kings",8,5,"GC Smith","SA Asnodkar","M Muralitharan",0,5,0,0,0,0,0,5,5,"","",""
25,1,"Royal Challengers Bangalore","Kings XI Punjab",14,6,"Misbah-ul-Haq","R Dravid","PP Chawla",0,5,0,0,0,0,0,5,5,"","",""
30,2,"Rajasthan Royals","Deccan Chargers",15,5,"M Kaif","GC Smith","PP Ojha",0,5,0,0,0,0,0,5,5,"","",""
31,1,"Royal Challengers Bangalore","Mumbai Indians",16,1,"R Vinay Kumar","P Kumar","DR Smith",0,5,0,0,0,0,0,5,5,"","",""
31,2,"Mumbai Indians","Royal Challengers Bangalore",5,7,"SR Tendulkar","ST Jayasuriya","P Kumar",0,5,0,0,0,0,0,5,5,"","",""
35,1,"Royal Challengers Bangalore","Kings XI Punjab",6,1,"V Kohli","CL White","PP Chawla",0,5,0,0,0,0,0,5,5,"","",""
36,2,"Delhi Daredevils","Kolkata Knight Riders",18,5,"VY Mahesh","GD McGrath","LR Shukla",0,5,0,0,0,0,0,5,5,"","",""
42,1,"Rajasthan Royals","Royal Challengers Bangalore",7,5,"SA Asnodkar","GC Smith","JH Kallis",0,5,0,0,0,0,0,5,5,"","",""
42,1,"Rajasthan Royals","Royal Challengers Bangalore",14,6,"GC Smith","SR Watson","Abdur Razzak",0,5,0,0,0,0,0,5,5,"","",""
45,1,"Royal Challengers Bangalore","Delhi Daredevils",2,3,"JH Kallis","B Chipli","PJ Sangwan",0,5,0,0,0,0,0,5,5,"","",""
45,2,"Delhi Daredevils","Royal Challengers Bangalore",2,6,"G Gambhir","V Sehwag","Z Khan",0,5,0,0,0,0,0,5,5,"","",""
47,1,"Kings XI Punjab","Mumbai Indians",17,2,"LA Pomersbach","Yuvraj Singh","SD Chitnis",0,5,0,0,0,0,0,5,5,"","",""
47,2,"Mumbai Indians","Kings XI Punjab",1,2,"ST Jayasuriya","SR Tendulkar","S Sreesanth",0,5,0,0,0,0,0,5,5,"","",""
48,2,"Chennai Super Kings","Royal Challengers Bangalore",3,3,"PA Patel","SP Fleming","DW Steyn",0,5,0,0,0,0,0,5,5,"","",""
53,1,"Kings XI Punjab","Kolkata Knight Riders",2,5,"JR Hopes","SE Marsh","I Sharma",0,5,0,0,0,0,0,5,5,"","",""
63,1,"Chennai Super Kings","Royal Challengers Bangalore",8,1,"ML Hayden","PA Patel","A Kumble",0,5,0,0,0,0,0,5,5,"","",""
64,1,"Kings XI Punjab","Kolkata Knight Riders",12,1,"Yuvraj Singh","KC Sangakkara","CH Gayle",0,5,0,0,0,0,0,5,5,"","",""
66,2,"Chennai Super Kings","Delhi Daredevils",7,1,"ML Hayden","SK Raina","AM Salvi",0,5,0,0,0,0,0,5,5,"","",""
68,2,"Kings XI Punjab","Royal Challengers Bangalore",5,1,"RS Bopara","K Goel","JH Kallis",0,5,0,0,0,0,0,5,5,"","",""
73,1,"Mumbai Indians","Kolkata Knight Riders",3,1,"SR Tendulkar","ST Jayasuriya","I Sharma",0,5,0,0,0,0,0,5,5,"","",""
75,1,"Kolkata Knight Riders","Royal Challengers Bangalore",3,5,"CH Gayle","BJ Hodge","KP Pietersen",0,5,0,0,0,0,0,5,5,"","",""
76,1,"Kings XI Punjab","Mumbai Indians",13,6,"IK Pathan","KC Sangakkara","JP Duminy",0,5,0,0,0,0,0,5,5,"","",""
86,2,"Kings XI Punjab","Rajasthan Royals",8,6,"IK Pathan","Yuvraj Singh","SM Harwood",0,5,0,0,0,0,0,5,5,"","",""
87,2,"Delhi Daredevils","Kolkata Knight Riders",11,6,"TM Dilshan","G Gambhir","BJ Hodge",0,5,0,0,0,0,0,5,5,"","",""
98,1,"Kings XI Punjab","Mumbai Indians",7,1,"KC Sangakkara","Yuvraj Singh","RR Raje",0,5,0,0,0,0,0,5,5,"","",""
99,1,"Delhi Daredevils","Deccan Chargers",20,2,"KD Karthik","PJ Sangwan","WPUJC Vaas",0,5,0,0,0,0,0,5,5,"","",""
101,2,"Mumbai Indians","Rajasthan Royals",9,6,"ST Jayasuriya","SR Tendulkar","J Botha",0,5,0,0,0,0,0,5,5,"","",""
103,2,"Chennai Super Kings","Mumbai Indians",13,4,"ML Hayden","MS Dhoni","DS Kulkarni",0,5,0,0,0,0,0,5,5,"","",""
107,1,"Chennai Super Kings","Kolkata Knight Riders",7,1,"GJ Bailey","PA Patel","M Kartik",0,5,0,0,0,0,0,5,5,"","",""
111,2,"Delhi Daredevils","Mumbai Indians",11,3,"V Sehwag","G Gambhir","ST Jayasuriya",0,5,0,0,0,0,0,5,5,"","",""
117,1,"Mumbai Indians","Rajasthan Royals",18,2,"R Sathish","SS Tiwary","SW Tait",0,5,0,0,0,0,0,5,5,"","",""
124,1,"Mumbai Indians","Delhi Daredevils",10,1,"SR Tendulkar","SS Tiwary","MF Maharoof",0,5,0,0,0,0,0,5,5,"","",""
124,2,"Delhi Daredevils","Mumbai Indians",12,4,"PJ Sangwan","A Mishra","ST Jayasuriya",0,5,0,0,0,0,0,5,5,"","",""
135,2,"Mumbai Indians","Chennai Super Kings",2,4,"S Dhawan","SR Tendulkar","L Balaji",0,5,0,0,0,0,0,5,5,"","",""
136,2,"Rajasthan Royals","Deccan Chargers",14,1,"FY Fazal","YK Pathan","PP Ojha",0,5,0,0,0,0,0,5,5,"","",""
142,1,"Kings XI Punjab","Mumbai Indians",6,2,"SE Marsh","DPMD Jayawardene","Harbhajan Singh",0,5,0,0,0,0,0,5,5,"","",""
142,2,"Mumbai Indians","Kings XI Punjab",6,1,"SR Tendulkar","S Dhawan","PP Chawla",0,5,0,0,0,0,0,5,5,"","",""
142,2,"Mumbai Indians","Kings XI Punjab",13,6,"AT Rayudu","SS Tiwary","B Lee",0,5,0,0,0,0,0,5,5,"","",""
145,1,"Kolkata Knight Riders","Deccan Chargers",5,4,"CA Pujara","SC Ganguly","Harmeet Singh",0,5,0,0,0,0,0,5,5,"","",""
146,1,"Kings XI Punjab","Royal Challengers Bangalore",8,3,"MS Bisla","KC Sangakkara","JH Kallis",0,5,0,0,0,0,0,5,5,"","",""
146,2,"Royal Challengers Bangalore","Kings XI Punjab",17,6,"RV Uthappa","KP Pietersen","B Lee",0,5,0,0,0,0,0,5,5,"","",""
149,1,"Kolkata Knight Riders","Kings XI Punjab",13,6,"CH Gayle","MK Tiwary","RS Bopara",0,5,0,0,0,0,0,5,5,"","",""
152,1,"Chennai Super Kings","Mumbai Indians",3,6,"M Vijay","ML Hayden","SL Malinga",0,5,0,0,0,0,0,5,5,"","",""
152,1,"Chennai Super Kings","Mumbai Indians",7,1,"SK Raina","ML Hayden","AN Ahmed",0,5,0,0,0,0,0,5,5,"","",""
155,1,"Royal Challengers Bangalore","Deccan Chargers",15,5,"V Kohli","JH Kallis","RJ Harris",0,5,0,0,0,0,0,5,5,"","",""
158,1,"Kolkata Knight Riders","Royal Challengers Bangalore",7,5,"BB McCullum","SC Ganguly","A Kumble",0,5,0,0,0,0,0,5,5,"","",""
158,2,"Royal Challengers Bangalore","Kolkata Knight Riders",9,4,"S Sriram","R Dravid","BAW Mendis",0,5,0,0,0,0,0,5,5,"","",""
159,1,"Delhi Daredevils","Kings XI Punjab",3,1,"G Gambhir","DA Warner","RR Powar",0,5,0,0,0,0,0,5,5,"","",""
159,1,"Delhi Daredevils","Kings XI Punjab",7,6,"PD Collingwood","KD Karthik","RR Powar",0,5,0,0,0,0,0,5,5,"","",""
160,2,"Rajasthan Royals","Mumbai Indians",6,6,"FY Fazal","AA Jhunjhunwala","DS Kulkarni",0,5,0,0,0,0,0,5,5,"","",""
163,1,"Kolkata Knight Riders","Chennai Super Kings",8,6,"MK Tiwary","AD Mathews","JA Morkel",0,5,0,0,0,0,0,5,5,"","",""
163,1,"Kolkata Knight Riders","Chennai Super Kings",18,1,"LR Shukla","AD Mathews","M Muralitharan",0,5,0,0,0,0,0,5,5,"","",""
163,2,"Chennai Super Kings","Kolkata Knight Riders",1,1,"M Vijay","ML Hayden","CH Gayle",0,5,0,0,0,0,0,5,5,"","",""
163,2,"Chennai Super Kings","Kolkata Knight Riders",3,5,"SK Raina","M Vijay","CH Gayle",0,5,0,0,0,0,0,5,5,"","",""
165,2,"Delhi Daredevils","Chennai Super Kings",13,4,"G Gambhir","M Manhas","L Balaji",0,5,0,0,0,0,0,5,5,"","",""
167,1,"Mumbai Indians","Royal Challengers Bangalore",9,3,"AT Rayudu","R McLaren","Pankaj Singh",0,5,0,0,0,0,0,5,5,"","",""
171,2,"Kolkata Knight Riders","Mumbai Indians",17,5,"BB McCullum","DJ Hussey","AG Murtaza",0,5,0,0,0,0,0,5,5,"","",""
172,1,"Mumbai Indians","Royal Challengers Bangalore",3,3,"S Dhawan","AM Nayar","P Kumar",0,5,0,0,0,0,0,5,5,"","",""
173,2,"Deccan Chargers","Chennai Super Kings",15,3,"A Symonds","B Sumanth","SB Jakati",0,5,0,0,0,0,0,5,5,"","",""
175,1,"Chennai Super Kings","Mumbai Indians",20,5,"S Anirudha","SK Raina","SL Malinga",0,5,0,0,0,0,0,5,5,"","",""
176,2,"Kolkata Knight Riders","Chennai Super Kings",3,3,"JH Kallis","MS Bisla","R Ashwin",0,5,0,0,0,0,0,5,5,"","",""
178,1,"Kochi Tuskers Kerala","Royal Challengers Bangalore",13,3,"BJ Hodge","DPMD Jayawardene","AUK Pathan",0,5,0,0,0,0,0,5,5,"","",""
185,1,"Kochi Tuskers Kerala","Pune Warriors",20,4,"RV Gomez","S Sreesanth","WD Parnell",0,5,0,0,0,0,0,5,5,"","",""
187,1,"Rajasthan Royals","Kolkata Knight Riders",20,3,"LRPL Taylor","J Botha","B Lee",0,5,0,0,0,0,0,5,5,"","",""
191,2,"Delhi Daredevils","Pune Warriors",6,1,"V Sehwag","DA Warner","WD Parnell",0,5,0,0,0,0,0,5,5,"","",""
194,2,"Delhi Daredevils","Deccan Chargers",8,3,"Y Venugopal Rao","DA Warner","Harmeet Singh",0,5,0,0,0,0,0,5,5,"","",""
198,1,"Mumbai Indians","Chennai Super Kings",2,3,"SR Tendulkar","R Sathish","DE Bollinger",0,5,0,0,0,0,0,5,5,"","",""
199,1,"Kolkata Knight Riders","Royal Challengers Bangalore",1,2,"JH Kallis","BJ Haddin","Z Khan",0,5,0,0,0,0,0,5,5,"","",""
200,1,"Delhi Daredevils","Kings XI Punjab",6,3,"V Sehwag","DA Warner","SJ Srivastava",0,5,0,0,0,0,0,5,5,"","",""
200,1,"Delhi Daredevils","Kings XI Punjab",20,2,"Y Venugopal Rao","NV Ojha","RJ Harris",0,5,0,0,0,0,0,5,5,"","",""
201,2,"Deccan Chargers","Mumbai Indians",8,1,"KC Sangakkara","CL White","KA Pollard",0,5,0,0,0,0,0,5,5,"","",""
204,2,"Royal Challengers Bangalore","Delhi Daredevils",3,5,"V Kohli","CH Gayle","AB Dinda",0,5,0,0,0,0,0,5,5,"","",""
210,2,"Kochi Tuskers Kerala","Delhi Daredevils",3,1,"BB McCullum","PA Patel","IK Pathan",0,5,0,0,0,0,0,5,5,"","",""
211,2,"Kolkata Knight Riders","Kings XI Punjab",11,5,"G Gambhir","MK Tiwary","RJ Harris",0,5,0,0,0,0,0,5,5,"","",""
215,2,"Kochi Tuskers Kerala","Delhi Daredevils",1,4,"BB McCullum","M Klinger","IK Pathan",0,5,0,0,0,0,0,5,5,"","",""
228,1,"Kings XI Punjab","Mumbai Indians",10,6,"AC Gilchrist","SE Marsh","RG Sharma",0,5,0,0,0,0,0,5,5,"","",""
229,1,"Rajasthan Royals","Royal Challengers Bangalore",19,6,"AS Raut","DH Yagnik","CH Gayle",0,5,0,0,0,0,0,5,5,"","",""
231,1,"Kochi Tuskers Kerala","Kings XI Punjab",6,2,"BB McCullum","DPMD Jayawardene","SJ Srivastava",0,5,0,0,0,0,0,5,5,"","",""
231,1,"Kochi Tuskers Kerala","Kings XI Punjab",8,6,"DPMD Jayawardene","BB McCullum","PP Chawla",0,5,0,0,0,0,0,5,5,"","",""
234,2,"Delhi Daredevils","Kings XI Punjab",1,5,"NV Ojha","DA Warner","P Kumar",0,5,0,0,0,0,0,5,5,"","",""
236,2,"Deccan Chargers","Pune Warriors",4,7,"S Sohal","S Dhawan","WD Parnell",0,5,0,0,0,0,0,5,5,"","",""
239,1,"Pune Warriors","Kolkata Knight Riders",12,4,"RV Uthappa","SC Ganguly","R Bhatia",0,5,0,0,0,0,0,5,5,"","",""
241,1,"Deccan Chargers","Kings XI Punjab",8,1,"S Dhawan","DB Ravi Teja","PC Valthaty",0,5,0,0,0,0,0,5,5,"","",""
247,1,"Royal Challengers Bangalore","Mumbai Indians",1,5,"CH Gayle","MA Agarwal","AN Ahmed",0,5,0,0,0,0,0,5,5,"","",""
